game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2014020766,12,away,TIE,SO,Bill Peters,1,10,31,0,4,0,36.5,3,8
2014020766,53,home,TIE,SO,Dave Tippett,1,7,42,8,0,0,63.5,8,4
2014020552,28,away,WIN,REG,Todd McLellan,3,6,21,13,8,1,35.6,10,5
2014020552,24,home,LOSS,REG,Bruce Boudreau,0,7,22,23,3,0,64.4,11,7
2014020206,52,away,TIE,SO,Paul Maurice,1,9,37,11,2,1,47.8,7,9
2014020206,9,home,TIE,SO,Paul MacLean,1,9,47,11,2,1,52.2,7,10
2014021204,12,away,WIN,REG,Bill Peters,3,6,21,19,6,1,52.3,8,5
2014021204,4,home,LOSS,REG,Craig Berube,1,7,35,37,2,0,47.7,8,5
2014020988,24,away,LOSS,REG,Bruce Boudreau,1,7,25,6,3,0,58,2,3
2014020988,23,home,WIN,REG,Willie Desjardins,2,4,18,10,1,0,42,6,6
2014020025,3,away,LOSS,REG,Alain Vigneault,2,6,28,25,3,0,49.2,3,5
2014020025,29,home,WIN,REG,Todd Richards,3,6,29,13,4,0,50.8,5,6
2014020575,19,away,WIN,REG,Ken Hitchcock,5,8,24,22,4,2,58.4,14,13
2014020575,28,home,LOSS,REG,Todd McLellan,2,5,25,16,6,0,41.6,23,6
2014020613,6,away,WIN,REG,Claude Julien,3,4,39,27,4,1,49.1,3,2
2014020613,4,home,LOSS,REG,Craig Berube,1,6,35,13,6,1,50.9,4,3
2014020823,22,away,LOSS,REG,Todd Nelson,2,6,25,19,2,0,50,6,6
2014020823,9,home,WIN,REG,Dave Cameron,5,10,48,9,2,2,50,8,12
2014020071,18,away,LOSS,OT,Peter Laviolette,1,5,31,10,4,1,56,3,4
2014020071,16,home,WIN,OT,Joel Quenneville,2,9,27,8,5,0,44,9,6
2014020265,53,away,WIN,REG,Dave Tippett,2,7,18,8,4,1,44.2,9,5
2014020265,22,home,LOSS,REG,Dallas Eakins,1,8,18,8,4,1,55.8,7,9
2014021014,25,away,TIE,REG,Lindy Ruff,2,7,11,8,6,3,44.4,4,7
2014021014,15,home,TIE,REG,Barry Trotz,2,5,36,14,3,0,55.6,10,0
2014020198,29,away,LOSS,OT,Todd Richards,2,7,34,16,4,0,42.5,1,6
2014020198,12,home,WIN,OT,Bill Peters,3,8,10,10,7,1,57.5,10,12
2014020124,30,away,LOSS,REG,Mike Yeo,2,10,18,6,2,0,43.1,5,4
2014020124,6,home,WIN,REG,Claude Julien,3,7,23,6,2,1,56.9,7,9
2014020999,7,away,TIE,SO,Ted Nolan,3,8,45,10,2,0,40.3,8,15
2014020999,10,home,TIE,SO,Peter Horachek,3,8,30,4,5,1,59.7,8,19
2014020771,16,away,WIN,OT,Joel Quenneville,2,5,16,11,1,0,49.2,8,1
2014020771,52,home,LOSS,OT,Paul Maurice,1,5,41,11,1,0,50.8,12,4
2014020465,6,away,WIN,OT,Claude Julien,3,6,14,9,2,0,45.9,6,5
2014020465,30,home,LOSS,OT,Mike Yeo,2,9,17,9,2,0,54.1,9,8
2014020694,6,away,TIE,SO,Claude Julien,2,6,27,17,2,0,46.6,0,10
2014020694,21,home,TIE,SO,Patrick Roy,2,9,26,11,5,0,53.4,7,17
2014020926,1,away,WIN,REG,Adam Oates,2,4,25,11,4,0,34,1,1
2014020926,29,home,LOSS,REG,Todd Richards,0,8,29,13,3,0,66,2,6
2014020451,1,away,TIE,SO,Peter DeBoer,2,7,18,8,2,1,44.4,19,7
2014020451,2,home,TIE,SO,Jack Capuano,2,8,31,6,3,0,55.6,21,7
2014020404,23,away,WIN,OT,Willie Desjardins,3,8,25,29,3,0,52.4,6,2
2014020404,9,home,LOSS,OT,Paul MacLean,2,11,26,21,7,1,47.6,11,5
2014020590,29,away,TIE,REG,Todd Richards,2,5,24,15,5,1,44.1,9,10
2014020590,25,home,TIE,REG,Lindy Ruff,2,6,21,15,5,0,55.9,12,12
2014020327,12,away,LOSS,REG,Bill Peters,0,8,29,2,3,0,42.4,3,2
2014020327,13,home,WIN,REG,Gerard Gallant,1,7,30,6,1,0,57.6,6,5
2014020263,25,away,LOSS,REG,Lindy Ruff,2,6,27,13,1,0,49.3,3,7
2014020263,16,home,WIN,REG,Joel Quenneville,4,11,14,7,4,1,50.7,8,14
2014020865,28,away,WIN,REG,Todd McLellan,3,7,25,11,2,0,46.9,5,4
2014020865,25,home,LOSS,REG,Lindy Ruff,2,9,26,9,3,1,53.1,13,5
2014020270,17,away,WIN,REG,Mike Babcock,3,10,18,11,5,2,60,4,5
2014020270,29,home,LOSS,REG,Todd Richards,0,7,26,15,3,0,40,9,12
2014020799,22,away,LOSS,REG,Todd Nelson,2,9,36,6,3,2,40.3,14,10
2014020799,2,home,WIN,REG,Jack Capuano,3,7,47,8,2,0,59.7,12,15
2014021212,28,away,WIN,REG,Todd McLellan,3,13,20,4,1,0,53.1,8,6
2014021212,22,home,LOSS,REG,Todd Nelson,1,6,19,5,2,0,46.9,13,11
2014020998,26,away,WIN,REG,Darryl Sutter,3,7,26,6,3,1,44.3,4,14
2014020998,21,home,LOSS,REG,Patrick Roy,2,5,23,6,3,0,55.7,4,9
2014020806,17,away,LOSS,REG,Mike Babcock,1,6,30,4,1,1,53.7,8,5
2014020806,5,home,WIN,REG,Mike Johnston,2,5,32,2,2,0,46.3,5,7
2014020677,12,away,WIN,REG,Bill Peters,2,8,27,20,3,0,63.8,9,8
2014020677,10,home,LOSS,REG,Peter Horachek,1,8,26,28,4,1,36.2,5,14
2014020906,5,away,LOSS,REG,Mike Johnston,2,6,18,18,6,1,40,12,8
2014020906,15,home,WIN,REG,Barry Trotz,3,6,30,18,6,1,60,9,11
2014020334,16,away,WIN,REG,Joel Quenneville,2,9,17,6,5,0,46,6,1
2014020334,24,home,LOSS,REG,Bruce Boudreau,1,6,31,23,2,0,54,7,0
2014020734,25,away,WIN,REG,Lindy Ruff,3,8,13,13,8,4,43.5,17,5
2014020734,52,home,LOSS,REG,Paul Maurice,2,10,31,35,2,0,56.5,16,9
2014020932,9,away,TIE,REG,Dave Cameron,2,7,31,6,3,2,41.1,11,9
2014020932,28,home,TIE,REG,Todd McLellan,2,7,29,8,2,1,58.9,18,12
2014020210,18,away,WIN,REG,Peter Laviolette,2,8,23,2,2,0,46,5,3
2014020210,19,home,LOSS,REG,Ken Hitchcock,1,7,21,4,1,0,54,3,7
2014020646,23,away,WIN,REG,Willie Desjardins,2,5,39,13,3,2,49.1,8,6
2014020646,4,home,LOSS,REG,Craig Berube,0,7,58,23,4,0,50.9,4,4
2014020648,22,away,LOSS,REG,Todd Nelson,2,8,25,2,4,1,47.3,5,6
2014020648,14,home,WIN,REG,Jon Cooper,3,4,21,8,1,0,52.7,7,7
2014020851,25,away,WIN,REG,Lindy Ruff,2,5,13,11,4,1,40.4,2,3
2014020851,19,home,LOSS,REG,Ken Hitchcock,1,7,21,13,3,0,59.6,5,7
2014021126,7,away,TIE,REG,Ted Nolan,3,9,26,4,3,0,56.9,0,9
2014021126,21,home,TIE,REG,Patrick Roy,3,5,26,8,1,0,43.1,5,6
